824421598186893313	GewoonLuis	RT @hamza_alagic: Je mcm kijkt porno zonder geluid	RT @hamza_alagic : Je mcm kijkt porno zonder geluid
824422016371556352	rebeccalooijen	@Roelvano Grey's vind ik top, best verfrissend nu met wat oude mensen weg en wat nieuwe mensen erbij. Maar ja, wel same old drama ;-)	@Roelvano Grey's vind ik top , best verfrissend nu met wat oude mensen weg en wat nieuwe mensen erbij . Maar ja , wel same old drama ;-)
824422021505449986	Oriental__Beat	Wat een mooi interview met Stella Bergsma, in @VPROnms #NPOradio1.	Wat een mooi interview met Stella Bergsma , in @VPROnms #NPOradio1 .
824422023346675712	CesarRazord	Je wcw heeft geen enkele matchende set lingerie	Je wcw heeft geen enkele matchende set lingerie
824422023862611969	Allochtoons	Reactie graag @gijsrademaker? #FakeNews https://t.co/w8eEyYKE6Y	Reactie graag @gijsrademaker ? #FakeNews https://t.co/w8eEyYKE6Y
824422033077444609	MarkPostma77	Stevige taal. Maar geheel met deze oude vos eens. https://t.co/QKGmg0x9Zx	Stevige taal . Maar geheel met deze oude vos eens . https://t.co/QKGmg0x9Zx
824422039608066048	KudjochMC	Ik word gebruikt als schiet schijf! @Rutgervanes kan toch niet!! stomme @Gewoon_Ryan1200 https://t.co/mOoDU2BKvS	Ik word gebruikt als schiet schijf ! @Rutgervanes kan toch niet !! stomme @Gewoon_Ryan1200 https://t.co/mOoDU2BKvS
824422045719101440	Massarroni	@KarelRosman Niet in het lieve nat... :)	@KarelRosman Niet in het lieve nat ... :)
824422047002550272	naambetekenis	Betekenis naam Assia: https://t.co/eilrsgMSLo #assia Kijk ook op: https://t.co/QA5CpFkNOz #naambetekenis	Betekenis naam Assia : https://t.co/eilrsgMSLo #assia Kijk ook op : https://t.co/QA5CpFkNOz #naambetekenis
824422047547871232	watkopenwij	Aanuit Module 1000w Dio #kopen #allekabels.nl https://t.co/P16y0ByJMN	Aanuit Module 1000w Dio #kopen #allekabels . nl https://t.co/P16y0ByJMN
824422050450309120	ismaileddegdag	RT @frakupoko: Je wcw denkt dat ze wifey material is omdat ze kookt en kuist	RT @frakupoko : Je wcw denkt dat ze wifey material is omdat ze kookt en kuist
824422053252124672	KayFromElsen	@mediamarkt_nl ik kan deze kortingscode niet invoeren https://t.co/baGoIfatlZ	@mediamarkt_nl ik kan deze kortingscode niet invoeren https://t.co/baGoIfatlZ
824422048067944448	Allochtoons	RT @MaartenHijink: 2 onwaarheden in 1 tweet. We zijn nooit uitgenodigd voor een 'debat op links' en we hebben juist 'ja' gezegd op een…	RT @MaartenHijink : 2 onwaarheden in 1 tweet . We zijn nooit uitgenodigd voor een ' debat op links ' en we hebben juist ' ja ' gezegd op een …
824422062664081408	orangefuk	#sexdate Viento_76 - Viento_76 Leeftijd 33 jaar Regio Zuid-Holland Land Nederland Geslacht Vrouw Zoekt Man Doel... https://t.co/FwXyc6W4hm	#sexdate Viento _76 - Viento _76 Leeftijd 33 jaar Regio Zuid-Holland Land Nederland Geslacht Vrouw Zoekt Man Doel ... https://t.co/FwXyc6W4hm
824422062605406209	ConcChick	#cammen Attie17 - Attie17 Leeftijd 19 jaar Regio Utrecht Land Nederland Geslacht Vrouw Zoekt Man Doel Sex Mee... https://t.co/aZcjyhzSXv	#cammen Attie 17 - Attie 17 Leeftijd 19 jaar Regio Utrecht Land Nederland Geslacht Vrouw Zoekt Man Doel Sex Mee ... https://t.co/aZcjyhzSXv
824422062857064451	ConcChick	#cammen Moppiemops-1966 - Moppiemops-1966 Leeftijd 43 jaar Regio Zuid-Holland Land Nederland Geslacht Vrouw Zoe... https://t.co/AvIwmgMYah	#cammen Moppiemops -1966 - Moppiemops -1966 Leeftijd 43 jaar Regio Zuid-Holland Land Nederland Geslacht Vrouw Zoe ... https://t.co/AvIwmgMYah
824422062810923008	orangefuk	#sexdate BANDIT4 - BANDIT4 Leeftijd 36 jaar Regio Gelderland Land Nederland Geslacht Vrouw Zoekt Man Doel Eroti... https://t.co/nPHFgdOmyy	#sexdate BANDIT 4 - BANDIT 4 Leeftijd 36 jaar Regio Gelderland Land Nederland Geslacht Vrouw Zoekt Man Doel Eroti ... https://t.co/nPHFgdOmyy
824422067370164224	GoedeGoedkope	Nu beschikbaar: Microsoft Office 365 Home – Nederlands https://t.co/LokY91AotK	Nu beschikbaar : Microsoft Office 365 Home – Nederlands https://t.co/LokY91AotK
824422069173682176	Gio_seran	Ze zijn niet ready ! https://t.co/Pky5IBhrEd	Ze zijn niet ready ! https://t.co/Pky5IBhrEd
824422072675893248	mediatvnl	RT @010fotograaf: Als je gezocht wordt door de politie verstop je jezelf toch gewoon in de spouwmuur. Alleen hoe kom je er weer uit?…	RT @010fotograaf : Als je gezocht wordt door de politie verstop je jezelf toch gewoon in de spouwmuur . Alleen hoe kom je er weer uit ?…
824422074261340163	RegioDate	Bonnie 32 jaar, Oostende. Op zoek naar een wild avontuurtje. https://t.co/pA0T9B29n0	Bonnie 32 jaar , Oostende . Op zoek naar een wild avontuurtje . https://t.co/pA0T9B29n0
824422081454608388	ShatteredMirraz	@arneman_van Pssst... Murat hier:) k Vond je niet meer op FB en had je nr niet meer dus ik zocht... en ik vond, hoe iss t?	@arneman_van Pssst ... Murat hier :) k Vond je niet meer op FB en had je nr niet meer dus ik zocht ... en ik vond , hoe iss t?
824422090463965186	SativaAvitas	@ANanninga Dat durven schreeuwende powervrouwtjes niet. Wat de power zit hun enkel in de stem, verder zijn ze nog steeds zwak en beschadigd.	@ANanninga Dat durven schreeuwende powervrouwtjes niet . Wat de power zit hun enkel in de stem , verder zijn ze nog steeds zwak en beschadigd .
824422094175961089	NikkiOldekamp	Oh mijn moeder geeft ineens toestemming om met Douwe Bob te trouwen ok deal. #vval	Oh mijn moeder geeft ineens toestemming om met Douwe Bob te trouwen ok deal . #vval
824422097078415362	PavWAG1	@PerrinWAG1 @DaRoyston @IMaxim15 heb meer als een halfjaar cursus gehad op stage omdat het een israelisch bedrijf is	@PerrinWAG1 @DaRoyston @IMaxim15 heb meer als een halfjaar cursus gehad op stage omdat het een israelisch bedrijf is
824422098244362241	weyerwin	RT @valerievanpeel: Wens ik ook, @FranckenTheo . En laat ons die links-rechts labels in één klap afschaffen https://t.co/bl8B1e2IOx	RT @valerievanpeel : Wens ik ook , @FranckenTheo . En laat ons die links-rechts labels in één klap afschaffen https://t.co/bl8B1e2IOx
824422098638610432	martijnd	RT @rcbregman: 1: Rutte die Trump nadoet, geleerden die in de Balie filosoferen over uitzetten Nederlandse burgers. Ondenkbare wordt langza…	RT @rcbregman : 1: Rutte die Trump nadoet , geleerden die in de Balie filosoferen over uitzetten Nederlandse burgers . Ondenkbare wordt langza …
824422100538691584	brmlabordus	Echt Bo maakt mn dag nu gewoon al ik kan niet meer	Echt Bo maakt mn dag nu gewoon al ik kan niet meer
824422102073761793	HurwenenWiki	De #waterstand van de #Waal bij #Hurwenen om 01.30 uur: 70cm +N.A.P. Meer waterstanden: https://t.co/f77oCOth01	De #waterstand van de #Waal bij #Hurwenen om 01.30 uur : 70 cm +N.A.P. Meer waterstanden : https://t.co/f77oCOth01
824422102203768833	banen_nu	#vacature #urgent Financieel Adviseur - Wil jij als Financieel Adviseur graag meedenken op strategisch niveau?... https://t.co/RVP6gQJ2IV	#vacature #urgent Financieel Adviseur - Wil jij als Financieel Adviseur graag meedenken op strategisch niveau ?... https://t.co/RVP6gQJ2IV
824422103445336064	Populierweer	2:00 uur. Temperatuur: -2.2°C. Luchtdruk: 1027.4mbar. Luchtvochtigheid: 86%. Windsnelheid: 0.0 m/s. Meer? https://t.co/iQYhwrRKe1	2:00 uur . Temperatuur : -2.2°C. Luchtdruk : 1027.4 mbar . Luchtvochtigheid : 86%. Windsnelheid : 0.0 m/s. Meer ? https://t.co/iQYhwrRKe1
824422106146471939	geilchicky	#dtv beyonce-85 - beyonce-85 Leeftijd 24 jaar Regio Friesland Land Nederland Geslacht Vrouw Zoekt Man Doel Sex ... https://t.co/PYhlksQnCL	#dtv beyonce -85 - beyonce -85 Leeftijd 24 jaar Regio Friesland Land Nederland Geslacht Vrouw Zoekt Man Doel Sex ... https://t.co/PYhlksQnCL
824422106133831681	geilchicky	#dtv DzAnA3 - DzAnA3 Leeftijd 35 jaar Regio Drenthe Land Nederland Geslacht Vrouw Zoekt Man Doel Sex Meer ove... https://t.co/VyCtosu5Zl	#dtv DzAnA 3 - DzAnA 3 Leeftijd 35 jaar Regio Drenthe Land Nederland Geslacht Vrouw Zoekt Man Doel Sex Meer ove ... https://t.co/VyCtosu5Zl
824422104393285632	annegienbs	@DePolitieheli @PolitieOBN 👍🏼 dank voor de melding! Succes :)	@DePolitieheli @PolitieOBN 👍🏼 dank voor de melding ! Succes :)
824422107346042882	news_ajax	Dijks ziet af van overstap naar Norwich #Ajax https://t.co/5WcdEf9Zmj	Dijks ziet af van overstap naar Norwich #Ajax https://t.co/5WcdEf9Zmj
824422109250256897	BeQuanUTRtrans	Rechter stelt AB Transport Group in het gelijk https://t.co/uIRlAacZBo #nieuws #provincie	Rechter stelt AB Transport Group in het gelijk https://t.co/uIRlAacZBo #nieuws #provincie
824422117412188160	vrouwennet	Vrouw in de Media Award voor Tweede Kamerlid Van Toorenburg uit Rosmalen https://t.co/RwkAmlS4Ek	Vrouw in de Media Award voor Tweede Kamerlid Van Toorenburg uit Rosmalen https://t.co/RwkAmlS4Ek
824422119077515268	MusteredLady	NU 15% KORTING: s.Oliver PREMIUM Korte blazer in een boxy style https://t.co/SgB0k0DBvZ #OnSale https://t.co/zznFd2Z4Un	NU 15% KORTING : s. Oliver PREMIUM Korte blazer in een boxy style https://t.co/SgB0k0DBvZ #OnSale https://t.co/zznFd2Z4Un
824422121669586947	OsChartRadio	Nu op #OsChartRadio: Vigiland - UFO https://t.co/V2Wm3OR2DB	Nu op #OsChartRadio : Vigiland - UFO https://t.co/V2Wm3OR2DB
824422121753415682	ChickCh02121594	#sexafspraakjes Kroep-D-Shiznit1 - Kroep-D-Shiznit1 Leeftijd 38 jaar Regio Gelderland Land Nederland Geslacht V... https://t.co/VLSFNcNza5	#sexafspraakjes Kroep-D-Shiznit 1 - Kroep-D-Shiznit 1 Leeftijd 38 jaar Regio Gelderland Land Nederland Geslacht V... https://t.co/VLSFNcNza5
824422121942179843	ChickCh02121594	#sexafspraakjes Julie25 - Julie25 Leeftijd 34 jaar Regio Limburg Land Nederland Geslacht Vrouw Zoekt Man Doel S... https://t.co/kCMjZ2S92S	#sexafspraakjes Julie 25 - Julie 25 Leeftijd 34 jaar Regio Limburg Land Nederland Geslacht Vrouw Zoekt Man Doel S... https://t.co/kCMjZ2S92S
824422122827157505	BaracudaSE	@PostNL weet iemand de nl code voor deze: RP423975236SG is al in Nederland.B.v.d. prettige dag gewenst.	@PostNL weet iemand de nl code voor deze : RP 423975236 SG is al in Nederland .B.v.d. prettige dag gewenst .
824422129496158209	NLzoektwerk	Nieuwe #vacature #JouwBaan Werkvoorbereider Civiel - Project basis https://t.co/hT0tp4H3RZ	Nieuwe #vacature #JouwBaan Werkvoorbereider Civiel - Project basis https://t.co/hT0tp4H3RZ
824422129366097921	DylanVerbeke	'T leven is euh test dus makt mo daj em slaagt, want Karma goaj poepn en ton ejt je bekloagt. #Skumic ❤	'T leven is euh test dus makt mo daj em slaagt , want Karma goaj poepn en ton ejt je bekloagt . #Skumic ❤
824422131438022656	Kantoor_Baan	#vacature Fulltime helpdesk medewerker financiële dienstverlening Groningen: Voor de… https://t.co/XVQhtjVGcs #administratie	#vacature Fulltime helpdesk medewerker financiële dienstverlening Groningen : Voor de … https://t.co/XVQhtjVGcs #administratie
824422130959818753	BesteNieuws	Nieuw record voor Dow-Jonesindex https://t.co/lImTbRYVga via @Easy_Branches @auteurjanjansen #easybranches https://t.co/5WUOJRO0Nx	Nieuw record voor Dow-Jonesindex https://t.co/lImTbRYVga via @Easy_Branches @auteurjanjansen #easybranches https://t.co/5WUOJRO0Nx
824422132478255108	nrgradionl	NRGRadio.nl is ook te volgen via Twitter, Facebook en Instagram. Voeg ons toe ... https://t.co/nfOKvqA0pR https://t.co/lTSZJiXyze	NRGRadio . nl is ook te volgen via Twitter , Facebook en Instagram . Voeg ons toe ... https://t.co/nfOKvqA0pR https://t.co/lTSZJiXyze
824422133648355328	Kantoor_Baan	#vacature Parttime helpdesk medewerker financiële dienstverlening Groningen: Voor de… https://t.co/shxVQBQGTI #administratie	#vacature Parttime helpdesk medewerker financiële dienstverlening Groningen : Voor de … https://t.co/shxVQBQGTI #administratie
824422134336409600	johnkort196	@NOS Claudia de Breij heeft het beste nummer het is op mijn hart geschreven Het is het beste tijdloos en het klopt elke dag	@NOS Claudia de Breij heeft het beste nummer het is op mijn hart geschreven Het is het beste tijdloos en het klopt elke dag
824422135858814976	Kantoor_Baan	#vacature Wil jij met een nieuwe baan als klantenservice specialist 2017 in?: Voor de klantenservice… https://t.co/n7vOMfvcsn #administratie	#vacature Wil jij met een nieuwe baan als klantenservice specialist 2017 in ?: Voor de klantenservice … https://t.co/n7vOMfvcsn #administratie
824422137301729280	openn_eu	#BELGIE Evi Van Acker pakt leidersplaats op dag twee in Miami https://t.co/ptjPbebrQv	#BELGIE Evi Van Acker pakt leidersplaats op dag twee in Miami https://t.co/ptjPbebrQv
824422138660720640	openn_eu	#BELGIE "Trump bereidt decreten voor om steun aan VN te verminderen" https://t.co/iykDrWB4Hc	#BELGIE " Trump bereidt decreten voor om steun aan VN te verminderen " https://t.co/iykDrWB4Hc
824422139159678977	Kantoor_Baan	#vacature Traineeship Financiële administratie (fulltime): Ben jij leergierig, sta jij je mannetje… https://t.co/1xwIXDyEKp #administratie	#vacature Traineeship Financiële administratie ( fulltime ): Ben jij leergierig , sta jij je mannetje … https://t.co/1xwIXDyEKp #administratie
824422139466027009	openn_eu	#BELGIE Huldiging Marc De Buck valt samen met zijn vervanging wegens aanrandingszaak https://t.co/x3ECOxHAUz	#BELGIE Huldiging Marc De Buck valt samen met zijn vervanging wegens aanrandingszaak https://t.co/x3ECOxHAUz
824422140254519296	openn_eu	#BELGIE Dow Jones eindigt voor het eerst boven 20.000 punten https://t.co/XlPV8Ek5Ci	#BELGIE Dow Jones eindigt voor het eerst boven 20.000 punten https://t.co/XlPV8Ek5Ci
824422141571452928	Kantoor_Baan	#vacature Goed betaalde baan als helpdesk medewerker in Meppel: Functieomschrijving Als helpdesk… https://t.co/B3lPDLAzgR #administratie	#vacature Goed betaalde baan als helpdesk medewerker in Meppel : Functieomschrijving Als helpdesk … https://t.co/B3lPDLAzgR #administratie
824422150429900800	banen_nu	#vacature #urgent Projectcontroller - Ben jij een ervaren Projectcontroller en weet jij alles over grondexploi... https://t.co/pROt33fB7L	#vacature #urgent Projectcontroller - Ben jij een ervaren Projectcontroller en weet jij alles over grondexploi ... https://t.co/pROt33fB7L
824422150434086912	banen_nu	#vacature #urgent Financieel Specialist - Ben jij de proactieve, oplossings- en resultaatgerichte, all-round f... https://t.co/F4WgrMXxLF	#vacature #urgent Financieel Specialist - Ben jij de proactieve , oplossings - en resultaatgerichte , all-round f... https://t.co/F4WgrMXxLF
824422150471880704	banen_nu	#vacature #urgent Financieel Adviseur - Als financieel adviseur geef jij gevraagd en ongevraagd deskundig fina... https://t.co/oly9i21rGx	#vacature #urgent Financieel Adviseur - Als financieel adviseur geef jij gevraagd en ongevraagd deskundig fina ... https://t.co/oly9i21rGx
824422151612747776	woahits_kudchey	hey @KudjochMC wat ben je aan het dien😇	hey @KudjochMC wat ben je aan het dien 😇
824422152870858752	ndnl	Alle vermisten Italiaans lawinehotel dood: FARINDOLA (ANP) - Alle mensen die werden vermist nadat in het…… https://t.co/CdVnRu9kbn	Alle vermisten Italiaans lawinehotel dood : FARINDOLA ( ANP ) - Alle mensen die werden vermist nadat in het …… https://t.co/CdVnRu9kbn
824422156893323264	RotterdamAlarm	a1 ambu 17153 van der schellingstraatvp rotterdam rottdm bon 9327 Ambulance met spoed naar Van der Schellingstraat in Rotterdam	a1 ambu 17153 van der schellingstraatvp rotterdam rottdm bon 9327 Ambulance met spoed naar Van der Schellingstraat in Rotterdam
824422156398395392	MarlijnTM	@monique_veld ik vond deze tweets van @thebandb wel heel verhelderend. #facts vs #opinion https://t.co/W743OA5IPI	@monique_veld ik vond deze tweets van @thebandb wel heel verhelderend . #facts vs #opinion https://t.co/W743OA5IPI
824422169174298625	Luukjaah	ik heb 163 woordjes om te leren en 999 redenen om te sterven	ik heb 163 woordjes om te leren en 999 redenen om te sterven
824422177541910528	gwnlaris	Ik zie dat jullie allemaal zijn afgehaakt, welterusten he 😎🤘🏻	Ik zie dat jullie allemaal zijn afgehaakt , welterusten he 😎🤘🏻
824422177692909568	_Leeuwarden	Fans zingen Cambuurspelers toe bij stadion https://t.co/PoRGVAYbOP Honderden fans wachtten de spelers van Cambuur woensdag rond middernach…	Fans zingen Cambuurspelers toe bij stadion https://t.co/PoRGVAYbOP Honderden fans wachtten de spelers van Cambuur woensdag rond middernach …
824422182143098882	beirutsi_	damn chaussée d'amour ziet er goed uit :o	damn chaussée d'amour ziet er goed uit :o
824422185079017473	JaspervN	Je mcm heeft leren dansen van Bruno Mars	Je mcm heeft leren dansen van Bruno Mars
824422199692001284	antimadkhalies	@ArnoudvDoorn als jij zijn versie van de islam als een versie beschouwd dan ben je in ongeloof vervallen. Kun je dit verduidelijken?	@ArnoudvDoorn als jij zijn versie van de islam als een versie beschouwd dan ben je in ongeloof vervallen . Kun je dit verduidelijken ?
824422201105481728	skepje	@JaccoBroer Alweer !!!!!!!	@JaccoBroer Alweer !!!!!!!
824422202292441088	pindakaasherpus	RT @JohanvanKlavere: De @volkskrant die #Trump dood wenst tijdens #inauguratie Ik blijf deze tweet herhalen totdat #Volkskrant excuses a…	RT @JohanvanKlavere : De @volkskrant die #Trump dood wenst tijdens #inauguratie Ik blijf deze tweet herhalen totdat #Volkskrant excuses a…
824422204968501251	treaabma	RT @erikmouthaanRTL: Secret Service agente: ik zou niet tussen Donald Trump en een kogel gaan staan. https://t.co/GTJ3rGRtN1	RT @erikmouthaanRTL : Secret Service agente : ik zou niet tussen Donald Trump en een kogel gaan staan . https://t.co/GTJ3rGRtN1
824422205236842496	naamloos_nl	Jeeeezus Ao no exorcist is goed man. Morgenvroeg kijk ik nog ff de laatste episode en dan wachten tot Season 2 compleet is :D	Jeeeezus Ao no exorcist is goed man . Morgenvroeg kijk ik nog ff de laatste episode en dan wachten tot Season 2 compleet is :D
824422206092484608	Samosaurusss	RT @RMsRightFoot: Happy Birthday @GeraldineKemper !! Zo leuk dat zo'n pracht vrouw dezelfde dag als mij jarig is!! https://t.co/UM9Emx2k0e	RT @RMsRightFoot : Happy Birthday @GeraldineKemper !! Zo leuk dat zo'n pracht vrouw dezelfde dag als mij jarig is !! https://t.co/UM9Emx2k0e
824422206537142273	DenZzOfzew	RT @Gio_seran: Ze zijn niet ready ! https://t.co/Pky5IBhrEd	RT @Gio_seran : Ze zijn niet ready ! https://t.co/Pky5IBhrEd
824422211780018177	kwalivo	@dreoudman Niet zonder zesduizend lijfwachten en een extra deklaag kogelwerende haarlak.	@dreoudman Niet zonder zesduizend lijfwachten en een extra deklaag kogelwerende haarlak .
824422222018310144	OnnoHansum	RT @FCDeAvonturiers: 🇯🇵 Heerlijke foto, toch? Je ziet een buitengewoon blije Avonturier: Quenten Martinus, speler van Yokohama F. Marino…	RT @FCDeAvonturiers : 🇯🇵 Heerlijke foto , toch ? Je ziet een buitengewoon blije Avonturier : Quenten Martinus , speler van Yokohama F. Marino …
824422223805091840	Rdraaitdoor	Nu voor u.. Melder 4 - Annie ..hier bij https://t.co/IVO9UjPAmq	Nu voor u.. Melder 4 - Annie .. hier bij https://t.co/IVO9UjPAmq
824422225302474752	Franciska323	Hoeveel procent van je brein gebruik jij? Doe de test! https://t.co/zy19klc8ZW via @HLN_BE	Hoeveel procent van je brein gebruik jij ? Doe de test ! https://t.co/zy19klc8ZW via @HLN_BE
824422238321516544	cryingpablo	Daarom kijk ik op 4g, op wifi kan je never rekenen https://t.co/xSqaICAD8u	Daarom kijk ik op 4g, op wifi kan je never rekenen https://t.co/xSqaICAD8u
824422243556032512	Chantaaaine	Als ik iets ni begrijp vraag ik toch om uitleg just educate me dont tell me im stupid for not knowing something	Als ik iets ni begrijp vraag ik toch om uitleg just educate me dont tell me im stupid for not knowing something
824422246764707841	StephanHaans	@StephanHaans @TomKleijnNL en dan durf ik Infowars en Breitbart nieteens te noemen.. De Legacy press is dead and buried	@StephanHaans @TomKleijnNL en dan durf ik Infowars en Breitbart nieteens te noemen .. De Legacy press is dead and buried
824422247096090629	PietervanMegen	@WJLinders @apjvalk ik vrees dat hij het gelooft. Hij is volgens mij niet zo een goede acteur	@WJLinders @apjvalk ik vrees dat hij het gelooft . Hij is volgens mij niet zo een goede acteur
824422256700952577	_Economisch	Geen overlevenden meer onder vermisten Italiaans lawinehotel https://t.co/wgZ5QrdIqE	Geen overlevenden meer onder vermisten Italiaans lawinehotel https://t.co/wgZ5QrdIqE
824422257120448512	jacques_bonneur	Hand in hand tegen komst Brouwerseiland https://t.co/8m0yDKHark	Hand in hand tegen komst Brouwerseiland https://t.co/8m0yDKHark
824422260828168194	Eldorado_Radio	radio eldorado - nonstop uit studio vlaardingen draait nu : savannah - drivin' my life away #hits #muziek	radio eldorado - nonstop uit studio vlaardingen draait nu : savannah - drivin ' my life away #hits #muziek
824422268210188289	DenZzOfzew	RT @Gio_seran: Ze zijn niet ready ! https://t.co/Pky5IBhrEd	RT @Gio_seran : Ze zijn niet ready ! https://t.co/Pky5IBhrEd
824422275126611969	HHelenaderksen	RT @BakkerRoland: @SamvanRooy1 idd. Ik moet overigens zeggen dat de dame geheel boven-achterin met de beste oplossingen kwam, de zogenaamd…	RT @BakkerRoland : @SamvanRooy1 idd . Ik moet overigens zeggen dat de dame geheel boven-achterin met de beste oplossingen kwam , de zogenaamd …
824422300929888256	ehv_jan	Een Goede Prestatie https://t.co/wxg7HmQsdH	Een Goede Prestatie https://t.co/wxg7HmQsdH
824422309385633792	EngineBeast	Zielig, Nederland heeft weer aandacht nodig. Alsof Trump niks anders te doen heeft. #zondagmetlubach	Zielig , Nederland heeft weer aandacht nodig . Alsof Trump niks anders te doen heeft . #zondagmetlubach
824422312845910016	Dutchtuber	je moet er wat voor over hebben als je m'n beste vriend wilt zijn https://t.co/HXuOzCKLqR	je moet er wat voor over hebben als je m'n beste vriend wilt zijn https://t.co/HXuOzCKLqR
824422329572855808	EmmaMghrmn	@EmmaMghrmn echt samenvatting van m'n eerste semester hogere studies 💔	@EmmaMghrmn echt samenvatting van m'n eerste semester hogere studies 💔
824422333628764162	DanDark69	@geertwilderspvv Welk deel van onze cultuur? Oude molens, kantklossen, volksmuziek & Sinterklaas met zwarte Piet? Maar weg met kunst etc?	@geertwilderspvv Welk deel van onze cultuur ? Oude molens , kantklossen , volksmuziek & Sinterklaas met zwarte Piet ? Maar weg met kunst etc ?
824422334996090880	IncredibleMusik	Fender MIJ Olympic white Stratocaster Guitar Body Luthier Parts 1980s E serial # https://t.co/PszXvBnoE0 https://t.co/GV8dHOeLIT	Fender MIJ Olympic white Stratocaster Guitar Body Luthier Parts 1980s E serial # https://t.co/PszXvBnoE0 https://t.co/GV8dHOeLIT
824422337537777664	beirutsi_	het programma nie de buurt....	het programma nie de buurt ....
824422341526650880	neemjemoeder	@PimHaarsma @Nicolaewna Kijk bvb naar de binnen en de buitenbocht bij het schaatsen, een auto heeft al gauw een breedte van 2 meter.	@PimHaarsma @Nicolaewna Kijk bvb naar de binnen en de buitenbocht bij het schaatsen , een auto heeft al gauw een breedte van 2 meter .
824422350171099136	IkbenFatih	Je mcm heeft maar 1 match op tinder en vuurt leugens dat hij haar 4 keer gekanteld heeft	Je mcm heeft maar 1 match op tinder en vuurt leugens dat hij haar 4 keer gekanteld heeft
824422350687006720	detemmermangio	Welke sex positie past het beste bij jou? https://t.co/bUaEOhQGN3	Welke sex positie past het beste bij jou ? https://t.co/bUaEOhQGN3
824422352222060544	heyitsmina	Snachts studeren is zooo rustig wrm volg ik gwn nie mijn natuurlijk foktop bioritme??	Snachts studeren is zooo rustig wrm volg ik gwn nie mijn natuurlijk foktop bioritme ??
824422357049769984	mediaencultuur	Geen overlevenden meer onder vermisten Italiaans lawinehotel #CultuurEnMedia https://t.co/wsDWbs3dTX	Geen overlevenden meer onder vermisten Italiaans lawinehotel #CultuurEnMedia https://t.co/wsDWbs3dTX
824422356496121857	webcamsex2_0	#geile Sacha uit #Roermond, #geile #bisexuele #chick , wil het liefste #sex in #bad https://t.co/VP6M5FzKIP https://t.co/ScVQGsLcv2	#geile Sacha uit #Roermond , #geile #bisexuele #chick , wil het liefste #sex in #bad https://t.co/VP6M5FzKIP https://t.co/ScVQGsLcv2
824422361663492096	Werk_ze	Nieuwe vacatures Vacatures – Werk ze! for 01/25/2017 - https://t.co/NBKkbJkDFr	Nieuwe vacatures Vacatures – Werk ze ! for 01/25/2017 - https://t.co/NBKkbJkDFr
824422362128855040	joofvacatures	Vacature: Leuke bijbaan op zondag in Helmond! https://t.co/eL2z4Hj41B #helmond #vacature #banen	Vacature : Leuke bijbaan op zondag in Helmond ! https://t.co/eL2z4Hj41B #helmond #vacature #banen
824422361931804673	04Noralyn	RT @MadamLucyMo: Guten Morgen fam! EDWARD TheCheerfulPrankster	RT @MadamLucyMo : Guten Morgen fam ! EDWARD TheCheerfulPrankster
824422365018947584	SMink9	Wat gaat Eredivisie doen met eigen FIFA17-competitie? https://t.co/muVI3fz4mg #marketing #nieuws	Wat gaat Eredivisie doen met eigen FIFA 17- competitie ? https://t.co/muVI3fz4mg #marketing #nieuws
824422370148446208	joofvacatures	Vacature: Monteur Buitendienst Verticaal Transport https://t.co/PHmHOGtfJf #alphen aan den rijn #vacature #banen	Vacature : Monteur Buitendienst Verticaal Transport https://t.co/PHmHOGtfJf #alphen aan den rijn #vacature #banen
824422361931804673	04Noralyn	RT @MadamLucyMo: Guten Morgen fam! EDWARD TheCheerfulPrankster	RT @MadamLucyMo : Guten Morgen fam ! EDWARD TheCheerfulPrankster
824422374426681344	wimbongers	@pbartels7 @nl_misstanden Kies niet voor het slechte. Stem niet op achteruitgang. Kies diegene die je vertrouwd of op jezelf #geenpeil	@pbartels7 @nl_misstanden Kies niet voor het slechte . Stem niet op achteruitgang . Kies diegene die je vertrouwd of op jezelf #geenpeil
824422375076851713	nabillla_v	Je wcw plaats "snapchat saw it first" als caption bij haar instagram foto's	Je wcw plaats " snapchat saw it first " als caption bij haar instagram foto's
824422380131020800	machteloze	@hayevanderh Ook zijn dit vaak mensen waarbij integriteit of principes niet zo spelen, waardoor ze makkelijk van ka… https://t.co/H6KoUaiEZ4	@hayevanderh Ook zijn dit vaak mensen waarbij integriteit of principes niet zo spelen , waardoor ze makkelijk van ka … https://t.co/H6KoUaiEZ4
824422380730736640	pmotasandra	RT @pijljamie: Het is echt een verloren zaak lol, gewoon gaan slapen	RT @pijljamie : Het is echt een verloren zaak lol , gewoon gaan slapen
824422380894244864	elzitayitayi	Gevechten op school be like https://t.co/EFo94hyQDF	Gevechten op school be like https://t.co/EFo94hyQDF
824422388624457731	ankavanderhoeve	Nieuw werk: 'Geen oplossing zie.' geupload op exto https://t.co/5BMyfzAg5o	Nieuw werk : ' Geen oplossing zie .' geupload op exto https://t.co/5BMyfzAg5o
824422389505290240	MarkPostma77	@erikmouthaanRTL Deze oude vos is haast in zijn eentje de Azteekse 🇲🇽strijd tegen Trump aan het voeren. Terecht overigens.	@erikmouthaanRTL Deze oude vos is haast in zijn eentje de Azteekse 🇲🇽 strijd tegen Trump aan het voeren . Terecht overigens .
